timestamp,agent.name,rule.description,rule.level,rule.id
"Jun 28, 2026 @ 17:47:07.677",ubuntu22-server,"""MariaDB audit -"" Authentication failed: root@localhost",5,100704
"Jun 28, 2026 @ 17:47:07.677",ubuntu22-server,"""MariaDB audit -"" User session closed: root@localhost",3,100709
"Jun 28, 2026 @ 17:47:07.677",ubuntu22-server,"""MariaDB audit -"" Possible brute force attack from root@localhost",7,100705
"Jun 28, 2026 @ 17:47:05.846",ubuntu22-server,"""MariaDB audit -"" User session closed: root@localhost",3,100709
"Jun 28, 2026 @ 17:47:05.846",ubuntu22-server,"""MariaDB audit -"" Authentication failed: root@localhost",5,100704
"Jun 28, 2026 @ 17:46:37.726",ubuntu22-server,"""MariaDB audit -"" Authentication failed: root@localhost",5,100704
"Jun 28, 2026 @ 17:46:37.726",ubuntu22-server,"""MariaDB audit -"" User session closed: root@localhost",3,100709
"Jun 28, 2026 @ 17:46:27.900",ubuntu22-server,"""MariaDB audit -"" User session closed: attacker@localhost",3,100709
"Jun 28, 2026 @ 17:46:27.900",ubuntu22-server,"""MariaDB audit -"" Authentication failed: attacker@localhost",5,100704
"Jun 28, 2026 @ 17:46:27.900",ubuntu22-server,"""MariaDB audit -"" User session closed: attacker@localhost",3,100709
"Jun 28, 2026 @ 17:46:27.900",ubuntu22-server,"""MariaDB audit -"" Possible brute force attack from attacker@localhost",7,100705
"Jun 28, 2026 @ 17:46:27.899",ubuntu22-server,"""MariaDB audit -"" User session closed: attacker@localhost",3,100709
"Jun 28, 2026 @ 17:46:27.735",ubuntu22-server,"""MariaDB audit -"" Authentication failed: attacker@localhost",5,100704
"Jun 28, 2026 @ 17:46:27.735",ubuntu22-server,"""MariaDB audit -"" User session closed: attacker@localhost",3,100709
"Jun 28, 2026 @ 17:46:27.735",ubuntu22-server,"""MariaDB audit -"" User session closed: attacker@localhost",3,100709
"Jun 28, 2026 @ 17:46:27.734",ubuntu22-server,"""MariaDB audit -"" Authentication failed: attacker@localhost",5,100704
"Jun 28, 2026 @ 17:46:27.734",ubuntu22-server,"""MariaDB audit -"" Authentication failed: attacker@localhost",5,100704
